,uri,features
0,spotify:track:5ayybTSXNwcarDtxQKqvWX,"{'danceability': 0.474, 'energy': 0.338, 'key': 0, 'loudness': -11.528, 'mode': 1, 'speechiness': 0.0299, 'acousticness': 0.648, 'instrumentalness': 0, 'liveness': 0.13, 'valence': 0.81, 'tempo': 154.596, 'type': 'audio_features', 'id': '5ayybTSXNwcarDtxQKqvWX', 'uri': 'spotify:track:5ayybTSXNwcarDtxQKqvWX', 'track_href': 'https://api.spotify.com/v1/tracks/5ayybTSXNwcarDtxQKqvWX', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/5ayybTSXNwcarDtxQKqvWX', 'duration_ms': 153933, 'time_signature': 4}"
1,spotify:track:2bwhOdCOLgQ8v6xStAqnju,"{'danceability': 0.699, 'energy': 0.715, 'key': 1, 'loudness': -5.976, 'mode': 1, 'speechiness': 0.0391, 'acousticness': 0.18, 'instrumentalness': 0.415, 'liveness': 0.0704, 'valence': 0.81, 'tempo': 137.373, 'type': 'audio_features', 'id': '2bwhOdCOLgQ8v6xStAqnju', 'uri': 'spotify:track:2bwhOdCOLgQ8v6xStAqnju', 'track_href': 'https://api.spotify.com/v1/tracks/2bwhOdCOLgQ8v6xStAqnju', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2bwhOdCOLgQ8v6xStAqnju', 'duration_ms': 140000, 'time_signature': 4}"
2,spotify:track:40fD7ct05FvQHLdQTgJelG,"{'danceability': 0.645, 'energy': 0.943, 'key': 0, 'loudness': -1.526, 'mode': 1, 'speechiness': 0.0393, 'acousticness': 0.385, 'instrumentalness': 0, 'liveness': 0.37, 'valence': 0.965, 'tempo': 147.768, 'type': 'audio_features', 'id': '40fD7ct05FvQHLdQTgJelG', 'uri': 'spotify:track:40fD7ct05FvQHLdQTgJelG', 'track_href': 'https://api.spotify.com/v1/tracks/40fD7ct05FvQHLdQTgJelG', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/40fD7ct05FvQHLdQTgJelG', 'duration_ms': 131720, 'time_signature': 4}"
3,spotify:track:32CVurlBxtEYQlDm3yzCLl,"{'danceability': 0.61, 'energy': 0.699, 'key': 0, 'loudness': -8.739, 'mode': 1, 'speechiness': 0.176, 'acousticness': 0.842, 'instrumentalness': 1.85e-06, 'liveness': 0.501, 'valence': 0.859, 'tempo': 97.924, 'type': 'audio_features', 'id': '32CVurlBxtEYQlDm3yzCLl', 'uri': 'spotify:track:32CVurlBxtEYQlDm3yzCLl', 'track_href': 'https://api.spotify.com/v1/tracks/32CVurlBxtEYQlDm3yzCLl', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/32CVurlBxtEYQlDm3yzCLl', 'duration_ms': 113480, 'time_signature': 4}"
4,spotify:track:3HZJ9BLBpDya4p71VfXSWp,"{'danceability': 0.666, 'energy': 0.468, 'key': 6, 'loudness': -9.823, 'mode': 1, 'speechiness': 0.0315, 'acousticness': 0.541, 'instrumentalness': 4.09e-05, 'liveness': 0.119, 'valence': 0.946, 'tempo': 93.018, 'type': 'audio_features', 'id': '3HZJ9BLBpDya4p71VfXSWp', 'uri': 'spotify:track:3HZJ9BLBpDya4p71VfXSWp', 'track_href': 'https://api.spotify.com/v1/tracks/3HZJ9BLBpDya4p71VfXSWp', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3HZJ9BLBpDya4p71VfXSWp', 'duration_ms': 146573, 'time_signature': 4}"
5,spotify:track:4nAJtcmiyoL0ARY5WZY9IN,"{'danceability': 0.388, 'energy': 0.434, 'key': 7, 'loudness': -11.997, 'mode': 1, 'speechiness': 0.0354, 'acousticness': 0.789, 'instrumentalness': 0.954, 'liveness': 0.728, 'valence': 0.873, 'tempo': 206.313, 'type': 'audio_features', 'id': '4nAJtcmiyoL0ARY5WZY9IN', 'uri': 'spotify:track:4nAJtcmiyoL0ARY5WZY9IN', 'track_href': 'https://api.spotify.com/v1/tracks/4nAJtcmiyoL0ARY5WZY9IN', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4nAJtcmiyoL0ARY5WZY9IN', 'duration_ms': 153533, 'time_signature': 4}"
6,spotify:track:3Lbxie6whOW4eMt4jtI32k,"{'danceability': 0.641, 'energy': 0.834, 'key': 7, 'loudness': -7.831, 'mode': 1, 'speechiness': 0.242, 'acousticness': 0.626, 'instrumentalness': 0.000534, 'liveness': 0.131, 'valence': 0.849, 'tempo': 120.948, 'type': 'audio_features', 'id': '3Lbxie6whOW4eMt4jtI32k', 'uri': 'spotify:track:3Lbxie6whOW4eMt4jtI32k', 'track_href': 'https://api.spotify.com/v1/tracks/3Lbxie6whOW4eMt4jtI32k', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3Lbxie6whOW4eMt4jtI32k', 'duration_ms': 116027, 'time_signature': 4}"
7,spotify:track:2Un1O9CChp4wyTmt422XwW,"{'danceability': 0.548, 'energy': 0.253, 'key': 4, 'loudness': -11.387, 'mode': 1, 'speechiness': 0.0279, 'acousticness': 0.871, 'instrumentalness': 9.88e-05, 'liveness': 0.138, 'valence': 0.238, 'tempo': 68.184, 'type': 'audio_features', 'id': '2Un1O9CChp4wyTmt422XwW', 'uri': 'spotify:track:2Un1O9CChp4wyTmt422XwW', 'track_href': 'https://api.spotify.com/v1/tracks/2Un1O9CChp4wyTmt422XwW', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/2Un1O9CChp4wyTmt422XwW', 'duration_ms': 165027, 'time_signature': 3}"
8,spotify:track:4ToAe9XCKjFGin2Qfswwis,"{'danceability': 0.778, 'energy': 0.814, 'key': 6, 'loudness': -8.97, 'mode': 1, 'speechiness': 0.14, 'acousticness': 0.0989, 'instrumentalness': 8.07e-06, 'liveness': 0.18, 'valence': 0.921, 'tempo': 98.857, 'type': 'audio_features', 'id': '4ToAe9XCKjFGin2Qfswwis', 'uri': 'spotify:track:4ToAe9XCKjFGin2Qfswwis', 'track_href': 'https://api.spotify.com/v1/tracks/4ToAe9XCKjFGin2Qfswwis', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/4ToAe9XCKjFGin2Qfswwis', 'duration_ms': 154733, 'time_signature': 4}"
9,spotify:track:3aPlQWU07jGgyHaBHVS5TS,"{'danceability': 0.838, 'energy': 0.171, 'key': 4, 'loudness': -12.614, 'mode': 0, 'speechiness': 0.0729, 'acousticness': 0.23, 'instrumentalness': 0, 'liveness': 0.11, 'valence': 0.397, 'tempo': 135.925, 'type': 'audio_features', 'id': '3aPlQWU07jGgyHaBHVS5TS', 'uri': 'spotify:track:3aPlQWU07jGgyHaBHVS5TS', 'track_href': 'https://api.spotify.com/v1/tracks/3aPlQWU07jGgyHaBHVS5TS', 'analysis_url': 'https://api.spotify.com/v1/audio-analysis/3aPlQWU07jGgyHaBHVS5TS', 'duration_ms': 199600, 'time_signature': 4}"
