,title,artist,peakPos,lastPos,weeks,rank,isNew,date,track_uri
63999,It Will Rain,Bruno Mars,3,5,9,3,False,2011-12-04,spotify:track:0RUGuh2uSNFJpGMSsD1F5C
64000,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,1,6,23,4,False,2011-12-04,spotify:track:7LcfRTgAVTs5pQGEQgUEzN
64001,Someone Like You,Adele,1,3,21,5,False,2011-12-04,spotify:track:1zwMYTA5nlNjZxYrvBB2pV
64002,Without You,David Guetta Featuring Usher,4,4,13,6,False,2011-12-04,spotify:track:1KMkcUvF7m3SDChDOa7i5L
64003,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,4,8,24,7,False,2011-12-04,spotify:track:0qOnSQQF0yzuPWsXrQ9paz
64004,Good Feeling,Flo Rida,7,7,9,8,False,2011-12-04,spotify:track:2LEF1A8DOZ9wRYikWgVlZ8
64005,The One That Got Away,Katy Perry,9,10,7,9,False,2011-12-04,spotify:track:6hkOqJ5mE093AQf2lbZnsG
64006,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,1,16,36,10,False,2011-12-04,spotify:track:0IkKz2J93C94Ei4BvDop7P
64007,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,11,15,9,11,False,2011-12-04,spotify:track:07KYRDFf8Q6sqj4PWCP9vh
64008,You Make Me Feel...,Cobra Starship Featuring Sabi,7,13,20,12,False,2011-12-04,spotify:track:16Of7eeW44kt0a1M0nitHM
64009,Pumped Up Kicks,Foster The People,3,12,31,13,False,2011-12-04,spotify:track:7w87IxuO7BDcJ3YUqCyMTT
64010,Headlines,Drake,13,30,16,14,False,2011-12-04,spotify:track:6LxSe8YmdPxy095Ux6znaQ
64011,Ni**as in Paris,Jay Z Kanye West,15,17,16,15,False,2011-12-04,spotify:track:4Li2WHPkuyCdtmokzW2007
64012,Mr. Know It All,Kelly Clarkson,10,20,12,16,False,2011-12-04,spotify:track:7uRznL3LcuazKpwCTpDltz
64013,Work Out,J. Cole,17,19,13,17,False,2011-12-04,spotify:track:2wAJTrFhCnQyNSD3oUgTZO
64014,Dance (A$$),Big Sean Featuring Nicki Minaj,18,21,8,18,False,2011-12-04,spotify:track:4kbj5MwxO1bq9wjT5g9HaA
64015,Fly,Nicki Minaj Featuring Rihanna,19,25,14,19,False,2011-12-04,spotify:track:5OQsiBsky2k2kDKy2bX2eT
64016,Super Bass,Nicki Minaj,3,26,31,20,False,2011-12-04,spotify:track:3hlksXnvbKogFdPbpO9vel
64017,In The Dark,Dev,11,22,17,21,False,2011-12-04,spotify:track:1pbHy9VBpSyZh56xuujZz0
64018,You Da One,Rihanna,14,14,3,22,False,2011-12-04,spotify:track:3Yt9lRtS5V4nbJnwcgFgvC
64019,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",1,24,35,23,False,2011-12-04,spotify:track:1IJYb2qBTHMoDzHgsuA86H
64020,It Girl,Jason Derulo,17,23,16,24,False,2011-12-04,spotify:track:4fINc8dnfcz7AdhFYVA4i7
64021,Take Care,Drake Featuring Rihanna,9,9,2,25,False,2011-12-04,spotify:track:124NFj84ppZ5pAxTuVQYCQ
64097,Sexy And I Know It,LMFAO,1,2,17,1,False,2012-01-04,spotify:track:0obBFrPYkSoBJbvHfUIhkv
64098,We Found Love,Rihanna Featuring Calvin Harris,1,1,14,2,False,2012-01-04,spotify:track:6qn9YLKt13AGvpq9jfO8py
64099,The One That Got Away,Katy Perry,3,5,11,3,False,2012-01-04,spotify:track:6hkOqJ5mE093AQf2lbZnsG
64100,It Will Rain,Bruno Mars,3,3,13,4,False,2012-01-04,spotify:track:0RUGuh2uSNFJpGMSsD1F5C
64101,Ni**as in Paris,Jay Z Kanye West,5,6,20,5,False,2012-01-04,spotify:track:4Li2WHPkuyCdtmokzW2007
64102,Good Feeling,Flo Rida,4,4,13,6,False,2012-01-04,spotify:track:2LEF1A8DOZ9wRYikWgVlZ8
64103,Set Fire To The Rain,Adele,7,13,17,7,False,2012-01-04,spotify:track:73CMRj62VK8nUS4ezD2wvi
64104,Someone Like You,Adele,1,7,25,8,False,2012-01-04,spotify:track:1zwMYTA5nlNjZxYrvBB2pV
64105,Party Rock Anthem,LMFAO Featuring Lauren Bennett & GoonRock,1,15,40,9,False,2012-01-04,spotify:track:0IkKz2J93C94Ei4BvDop7P
64106,Dance (A$$),Big Sean Featuring Nicki Minaj,10,12,12,10,False,2012-01-04,spotify:track:4kbj5MwxO1bq9wjT5g9HaA
64107,Stereo Hearts,Gym Class Heroes Featuring Adam Levine,4,11,28,11,False,2012-01-04,spotify:track:0qOnSQQF0yzuPWsXrQ9paz
64108,Moves Like Jagger,Maroon 5 Featuring Christina Aguilera,1,9,27,12,False,2012-01-04,spotify:track:7LcfRTgAVTs5pQGEQgUEzN
64109,5 O'Clock,T-Pain Featuring Wiz Khalifa & Lily Allen,10,10,13,13,False,2012-01-04,spotify:track:07KYRDFf8Q6sqj4PWCP9vh
64110,Without You,David Guetta Featuring Usher,4,8,17,14,False,2012-01-04,spotify:track:1KMkcUvF7m3SDChDOa7i5L
64111,Headlines,Drake,13,16,20,15,False,2012-01-04,spotify:track:6LxSe8YmdPxy095Ux6znaQ
64112,"Young, Wild & Free",Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,10,18,11,16,False,2012-01-04,spotify:track:5HQVUIKwCEXpe7JIHyY734
64113,Work Out,J. Cole,14,14,17,17,False,2012-01-04,spotify:track:2wAJTrFhCnQyNSD3oUgTZO
64114,Red Solo Cup,Toby Keith,17,17,9,18,False,2012-01-04,spotify:track:4YKAOXyqkKZ5gOZR0AmVMN
64115,Mistletoe,Justin Bieber,11,32,9,19,False,2012-01-04,spotify:track:7xapw9Oy21WpfEcib2ErSA
64116,Pumped Up Kicks,Foster The People,3,19,35,20,False,2012-01-04,spotify:track:7w87IxuO7BDcJ3YUqCyMTT
64117,The Motto,Drake Featuring Lil Wayne,18,29,6,21,False,2012-01-04,spotify:track:4Kz4RdRCceaA9VgTqBhBfa
64118,You Da One,Rihanna,14,25,7,22,False,2012-01-04,spotify:track:3Yt9lRtS5V4nbJnwcgFgvC
64119,Not Over You,Gavin DeGraw,22,22,20,23,False,2012-01-04,spotify:track:6j7hih15xG2cdYwIJnQXsq
64120,Make Me Proud,Drake Featuring Nicki Minaj,9,24,11,24,False,2012-01-04,spotify:track:7yfg0Eer6UZZt5tZ1XdsWz
64121,Domino,Jessie J,25,28,11,25,False,2012-01-04,spotify:track:6MAdEUilV2p9RQUqE5bMAK
64197,Set Fire To The Rain,Adele,1,2,21,1,False,2012-02-04,spotify:track:73CMRj62VK8nUS4ezD2wvi
64198,We Found Love,Rihanna Featuring Calvin Harris,1,1,18,2,False,2012-02-04,spotify:track:6qn9YLKt13AGvpq9jfO8py
64199,Good Feeling,Flo Rida,3,3,17,3,False,2012-02-04,spotify:track:2LEF1A8DOZ9wRYikWgVlZ8
64200,Turn Me On,David Guetta Featuring Nicki Minaj,4,10,8,4,False,2012-02-04,spotify:track:7ztVkUdD1ZZoP7yZiAzNL4
64201,The One That Got Away,Katy Perry,3,6,15,5,False,2012-02-04,spotify:track:6hkOqJ5mE093AQf2lbZnsG
64202,It Will Rain,Bruno Mars,3,4,17,6,False,2012-02-04,spotify:track:0RUGuh2uSNFJpGMSsD1F5C
64203,Sexy And I Know It,LMFAO,1,5,21,7,False,2012-02-04,spotify:track:0obBFrPYkSoBJbvHfUIhkv
