,title,artist,peakPos,lastPos,weeks,rank,isNew,date,track_uri
0,Poor Little Fool,Ricky Nelson,1,0,1,1,True,1958-08-04,spotify:track:5ayybTSXNwcarDtxQKqvWX
1,Patricia,Perez Prado And His Orchestra,2,0,1,2,True,1958-08-04,spotify:track:2bwhOdCOLgQ8v6xStAqnju
2,Splish Splash,Bobby Darin,3,0,1,3,True,1958-08-04,spotify:track:40fD7ct05FvQHLdQTgJelG
3,Hard Headed Woman,Elvis Presley With The Jordanaires,4,0,1,4,True,1958-08-04,spotify:track:32CVurlBxtEYQlDm3yzCLl
4,When,Kalin Twins,5,0,1,5,True,1958-08-04,spotify:track:3HZJ9BLBpDya4p71VfXSWp
5,Rebel-'rouser,Duane Eddy His Twangy Guitar And The Rebels,6,0,1,6,True,1958-08-04,spotify:track:4nAJtcmiyoL0ARY5WZY9IN
6,Yakety Yak,The Coasters,7,0,1,7,True,1958-08-04,spotify:track:3Lbxie6whOW4eMt4jtI32k
7,My True Love,Jack Scott,8,0,1,8,True,1958-08-04,spotify:track:2Un1O9CChp4wyTmt422XwW
8,Willie And The Hand Jive,The Johnny Otis Show,9,0,1,9,True,1958-08-04,spotify:track:4ToAe9XCKjFGin2Qfswwis
9,Fever,Peggy Lee,10,0,1,10,True,1958-08-04,spotify:track:3aPlQWU07jGgyHaBHVS5TS
10,Ginger Bread,Frankie Avalon,11,0,1,11,True,1958-08-04,spotify:track:70FdlOx7tulYnp2IkS6qQw
11,Just A Dream,Jimmy Clanton And His Rockets,12,0,1,12,True,1958-08-04,spotify:track:1fDKsQrMYOTGHYgyIxycmM
12,Left Right Out Of Your Heart (Hi Lee Hi Lo Hi Lup Up Up),Patti Page,13,0,1,13,True,1958-08-04,
13,If Dreams Came True,Pat Boone,14,0,1,14,True,1958-08-04,spotify:track:3bOkX6Yz6Pe4NByWzuJY6G
14,For Your Precious Love,Jerry Butler and The Impressions,15,0,1,15,True,1958-08-04,spotify:track:2UL1EwS6tfbNrdH805oyvi
15,One Summer Night,The Danleers,16,0,1,16,True,1958-08-04,spotify:track:5GEsOz5Pbln0j2RcmBGLa4
16,Endless Sleep,Jody Reynolds,17,0,1,17,True,1958-08-04,spotify:track:7cb19X9Bavre8c1kUR1cGH
17,Little Star,The Elegants,18,0,1,18,True,1958-08-04,spotify:track:3c7KT5CN8uYRaK3xThhdYt
18,Everybody Loves A Lover,Doris Day,19,0,1,19,True,1958-08-04,spotify:track:6QfGyzfwf7dm38Tmf49BpC
19,Do You Want To Dance,Bobby Freeman,20,0,1,20,True,1958-08-04,spotify:track:4wXPZBafMKbTtdOB7BVGcp
20,Guess Things Happen That Way,Johnny Cash And The Tennessee Two,21,0,1,21,True,1958-08-04,spotify:track:6RPUXnHn2nA65anY9XoVz2
21,A Certain Smile,Johnny Mathis,22,0,1,22,True,1958-08-04,spotify:track:76eNJQoJmN4mfsUW0q8HPv
22,Western Movies,The Olympics,23,0,1,23,True,1958-08-04,spotify:track:398Q0gLfmsjJ5GFx9W2q5Y
23,The Purple People Eater,Sheb Wooley,24,0,1,24,True,1958-08-04,spotify:track:0WkZQPNC0c7yrsMX1arVAd
24,What Am I Living For,Chuck Willis,25,0,1,25,True,1958-08-04,spotify:track:6eIEXINZt8rtgqEtOxP9ur
100,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,1,1,6,1,False,1958-09-04,spotify:track:006Ndmw2hHxvnLbJsBFnPx
101,Little Star,The Elegants,1,2,6,2,False,1958-09-04,spotify:track:3c7KT5CN8uYRaK3xThhdYt
102,Bird Dog,The Everly Brothers,3,3,6,3,False,1958-09-04,spotify:track:2ZCkqAo0tzzCVOth7ityh5
103,Just A Dream,Jimmy Clanton And His Rockets,4,4,6,4,False,1958-09-04,spotify:track:1fDKsQrMYOTGHYgyIxycmM
104,Patricia,Perez Prado And His Orchestra,2,6,6,5,False,1958-09-04,spotify:track:2bwhOdCOLgQ8v6xStAqnju
105,Poor Little Fool,Ricky Nelson,1,5,6,6,False,1958-09-04,spotify:track:5ayybTSXNwcarDtxQKqvWX
106,My True Love,Jack Scott,3,7,6,7,False,1958-09-04,spotify:track:2Un1O9CChp4wyTmt422XwW
107,Rock-in Robin,Bobby Day,8,17,6,8,False,1958-09-04,spotify:track:2DAgYTzfPYqKJu0uItsNMd
108,Ginger Bread,Frankie Avalon,9,9,6,9,False,1958-09-04,spotify:track:70FdlOx7tulYnp2IkS6qQw
109,Western Movies,The Olympics,10,14,6,10,False,1958-09-04,spotify:track:398Q0gLfmsjJ5GFx9W2q5Y
110,It's All In The Game,Tommy Edwards,11,22,4,11,False,1958-09-04,spotify:track:2lmPUdIdzlFH64PWJrw6Zb
111,Fever,Peggy Lee,8,12,6,12,False,1958-09-04,spotify:track:3aPlQWU07jGgyHaBHVS5TS
112,Tears On My Pillow,Little Anthony And The Imperials,13,24,5,13,False,1958-09-04,spotify:track:07ePHsQ0SopWrnCbNjNC2D
113,Born Too Late,Poni-Tails,8,11,6,14,False,1958-09-04,spotify:track:3ZyJfbh2Y9y15f45qY1pDJ
