,title,artist,peakPos,lastPos,weeks,rank,isNew,date,track_uri
59999,Forever,Chris Brown,3,3,14,3,False,2008-08-04,spotify:track:3NZJlJemX3mzjf56MqC5ML
60000,Disturbia,Rihanna,4,15,6,4,False,2008-08-04,spotify:track:2VOomzT6VavJOGBeySqaMc
60001,Viva La Vida,Coldplay,1,5,12,5,False,2008-08-04,spotify:track:1mea3bSkSGXuIRvnydlB5b
60002,A Milli,Lil Wayne,6,8,14,6,False,2008-08-04,spotify:track:6ScJMrlpiLfZUGtWp4QIVt
60003,Lollipop,Lil Wayne Featuring Static Major,1,4,20,7,False,2008-08-04,spotify:track:4P7VFiaZb3xrXoqGwZXC3J
60004,Dangerous,Kardinal Offishall Featuring Akon,8,9,12,8,False,2008-08-04,spotify:track:5wujBwqG7INdStqGd4tRMX
60005,Bleeding Love,Leona Lewis,1,6,24,9,False,2008-08-04,spotify:track:7wZUrN8oemZfsEd1CGkbXE
60006,Leavin',Jesse McCartney,10,10,14,10,False,2008-08-04,spotify:track:20ORwCJusz4KS2PbTPVNKo
60007,Burnin' Up,Jonas Brothers,5,11,5,11,False,2008-08-04,spotify:track:2VEsmoek0sol9MnJFyoG9e
60008,When I Grow Up,The Pussycat Dolls,9,12,9,12,False,2008-08-04,spotify:track:21pySLskKIKrhDziCX5ojQ
60009,Pocketful Of Sunshine,Natasha Bedingfield,5,7,24,13,False,2008-08-04,spotify:track:1uigwk5hNV84zRd5YQQRTk
60010,Closer,Ne-Yo,14,19,15,14,False,2008-08-04,spotify:track:2XbfY2O2v3xwedUJ0J2kkr
60011,Shake It,Metro Station,10,17,17,15,False,2008-08-04,spotify:track:5619Ojc6t9evEEs3B7Drhe
60012,American Boy,Estelle Featuring Kanye West,16,26,15,16,False,2008-08-04,spotify:track:6etwirSInfuJrSOlogS6Sh
60013,Bust It Baby Part 2,Plies Featuring Ne-Yo,7,14,18,17,False,2008-08-04,spotify:track:4o2O6WSkkJfcKxlED7WTQY
60014,7 Things,Miley Cyrus,9,13,8,18,False,2008-08-04,spotify:track:5ecZWU5uQOiCVSnPxBZNmT
60015,Get Like Me,David Banner Featuring Chris Brown,18,18,12,19,False,2008-08-04,spotify:track:4O1CExxinEpKZi3861NlTK
60016,Lolli Lolli (Pop That Body),"Three 6 Mafia Featuring Project Pat, Young D & Superpower",19,20,11,20,False,2008-08-04,spotify:track:4xWMTkwknjh8FzxNrkwLl6
60017,I Luv Your Girl,The-Dream,20,21,14,21,False,2008-08-04,spotify:track:3wkNK8tJZ2stygNJm8RCRD
60018,All I Want To Do,Sugarland,18,23,6,22,False,2008-08-04,spotify:track:1mJ05BN0So26a14iib85aI
60019,It's Not My Time,3 Doors Down,17,22,23,23,False,2008-08-04,spotify:track:0uybt73QFXaLCoxuVf6fhm
60020,Put On,Young Jeezy Featuring Kanye West,24,28,8,24,False,2008-08-04,spotify:track:2nGFzvICaeEWjIrBrL2RAx
60021,What You Got,Colby O'Donis Featuring Akon,14,24,22,25,False,2008-08-04,spotify:track:3MldzywZOH4Uci6bq9noyJ
60097,Whatever You Like,T.I.,1,71,3,1,False,2008-09-04,spotify:track:1IAzD1muglOxOcPbUHs70R
60098,Disturbia,Rihanna,1,1,10,2,False,2008-09-04,spotify:track:2VOomzT6VavJOGBeySqaMc
60099,Forever,Chris Brown,2,3,18,3,False,2008-09-04,spotify:track:3NZJlJemX3mzjf56MqC5ML
60100,I Kissed A Girl,Katy Perry,1,4,16,4,False,2008-09-04,spotify:track:005lwxGU1tms6HGELIcUv9
60101,Dangerous,Kardinal Offishall Featuring Akon,5,7,16,5,False,2008-09-04,spotify:track:5wujBwqG7INdStqGd4tRMX
60102,Paper Planes,M.I.A.,5,6,6,6,False,2008-09-04,spotify:track:1ixbwbeBi5ufN4noUKmW5a
60103,Viva La Vida,Coldplay,1,5,16,7,False,2008-09-04,spotify:track:1mea3bSkSGXuIRvnydlB5b
60104,Closer,Ne-Yo,8,9,19,8,False,2008-09-04,spotify:track:2XbfY2O2v3xwedUJ0J2kkr
60105,So What,P!nk,9,0,1,9,True,2008-09-04,spotify:track:0JiY190vktuhSGN6aqJdrt
60106,Take A Bow,Rihanna,1,8,20,10,False,2008-09-04,spotify:track:3goSVuTt3fDYDP6kRnFwuL
60107,When I Grow Up,The Pussycat Dolls,9,15,13,11,False,2008-09-04,spotify:track:21pySLskKIKrhDziCX5ojQ
60108,Put On,Young Jeezy Featuring Kanye West,12,13,12,12,False,2008-09-04,spotify:track:2nGFzvICaeEWjIrBrL2RAx
60109,A Milli,Lil Wayne,6,12,18,13,False,2008-09-04,spotify:track:6ScJMrlpiLfZUGtWp4QIVt
60110,Leavin',Jesse McCartney,10,14,18,14,False,2008-09-04,spotify:track:20ORwCJusz4KS2PbTPVNKo
60111,Crush,David Archuleta,2,2,2,15,False,2008-09-04,spotify:track:4wCD0qOFNRu1Q6O3N6ycm4
60112,Get Like Me,David Banner Featuring Chris Brown,16,17,16,16,False,2008-09-04,spotify:track:4O1CExxinEpKZi3861NlTK
60113,One Step At A Time,Jordin Sparks,17,21,9,17,False,2008-09-04,spotify:track:5o4W6yWSJD9e9Ea8YC9WjF
60114,Got Money,Lil Wayne Featuring T-Pain,13,19,13,18,False,2008-09-04,spotify:track:6YYd5MLpu45J0uLrMdivF7
60115,All Summer Long,Hit Masters,19,65,2,19,False,2008-09-04,spotify:track:2QE57N7D5SP8uEdxWt0zV7
60116,Bleeding Love,Leona Lewis,1,18,28,20,False,2008-09-04,spotify:track:7wZUrN8oemZfsEd1CGkbXE
60117,Burnin' Up,Jonas Brothers,5,20,9,21,False,2008-09-04,spotify:track:2VEsmoek0sol9MnJFyoG9e
60118,Can't Believe It,T-Pain Featuring Lil Wayne,22,30,4,22,False,2008-09-04,spotify:track:5MM6iTvhrHg3OwaFkpXwVs
