,uri,genres
0,spotify:track:5ayybTSXNwcarDtxQKqvWX,adult standards
1,spotify:track:2bwhOdCOLgQ8v6xStAqnju,mambo
2,spotify:track:40fD7ct05FvQHLdQTgJelG,adult standards
3,spotify:track:32CVurlBxtEYQlDm3yzCLl,rock-and-roll
4,spotify:track:3HZJ9BLBpDya4p71VfXSWp,deep adult standards
5,spotify:track:4nAJtcmiyoL0ARY5WZY9IN,rock-and-roll
6,spotify:track:3Lbxie6whOW4eMt4jtI32k,doo-wop
7,spotify:track:2Un1O9CChp4wyTmt422XwW,canadian rockabilly
8,spotify:track:4ToAe9XCKjFGin2Qfswwis,
9,spotify:track:3aPlQWU07jGgyHaBHVS5TS,adult standards
10,spotify:track:70FdlOx7tulYnp2IkS6qQw,adult standards
11,spotify:track:1fDKsQrMYOTGHYgyIxycmM,
12,spotify:track:3bOkX6Yz6Pe4NByWzuJY6G,adult standards
13,spotify:track:2UL1EwS6tfbNrdH805oyvi,
14,spotify:track:006Ndmw2hHxvnLbJsBFnPx,classic italian pop
15,spotify:track:3c7KT5CN8uYRaK3xThhdYt,doo-wop
16,spotify:track:2ZCkqAo0tzzCVOth7ityh5,adult standards
17,spotify:track:2DAgYTzfPYqKJu0uItsNMd,doo-wop
18,spotify:track:398Q0gLfmsjJ5GFx9W2q5Y,doo-wop
19,spotify:track:2lmPUdIdzlFH64PWJrw6Zb,deep adult standards
20,spotify:track:07ePHsQ0SopWrnCbNjNC2D,classic soul
21,spotify:track:3ZyJfbh2Y9y15f45qY1pDJ,classic girl group
22,spotify:track:6NWKlkSFWP2Et2cEOpCbPY,adult standards
23,spotify:track:1xjCGpAJVRAECqs5Pt6Gw1,
24,spotify:track:3QWUoUlkbCJPAD0YhLjtLS,big band
25,spotify:track:3oAWTk92mZBxKBOKf8mR5v,rock-and-roll
26,spotify:track:0aVMdNotlKqTs5eVAomnBw,easy listening
27,spotify:track:4Y00xD9HbXDLtf7Wv9685t,deep adult standards
28,spotify:track:79Iwb8D1mlLHzyrTzuA3cw,space age pop
29,spotify:track:07GtDOCxmye5KDWsTSACPk,doo-wop
30,spotify:track:1xVOttVNT27FBTD8iHjOfU,arkansas country
31,spotify:track:2qLxtO0iaFGI9x19vU3bDI,american folk revival
32,spotify:track:3K36p8pq3v0vyoRmx3hLNS,
33,spotify:track:5msxn2HUcd83qOsuQW7Kdb,
34,spotify:track:1asCFshazteZOYJ6gqv0Fj,adult standards
35,spotify:track:0SsYlkXxZ5vkWOTsKxMfMz,adult standards
36,spotify:track:3iYPe12BAZCKoqeQkloxGJ,adult standards
37,spotify:track:4kbV9t3FO8op15IrpQm5Mz,novelty
38,spotify:track:0AzETg7Vecim0WSOp6PyDb,rock-and-roll
39,spotify:track:4MbHwmdaADODyMQe4NlH3i,adult standards
40,spotify:track:0IDFXLMABcj61OKI3L05A0,rock-and-roll
41,spotify:track:2vSxjnyrWrtxyfzO47EX6q,adult standards
42,spotify:track:6HBgCYResmsdmOufyHVoNB,doo-wop
43,spotify:track:02NKMA9cIkq6VuBNu9q9Wf,children's music
44,spotify:track:3Caxz7mxX1pTWlxCYH1aV3,adult standards
45,spotify:track:3HynxUWKnm7rtzjVkyXoHu,
46,spotify:track:6pS2nLsZBUOrMaFMPvFVwM,louisiana blues
47,spotify:track:4SUe5YYM38r0eVuTRrTyv1,yodeling
48,spotify:track:0VE4ayVlGs5DBoqOdgJ0Zv,rock-and-roll
49,spotify:track:7qoaMWT3eRCKG1RN6dVuOY,doo-wop
