,title,artist,peakPos,lastPos,weeks,rank,isNew,date,track_uri
20001,Philadelphia Freedom,The Elton John Band,2,3,5,2,False,1975-04-04,spotify:track:2hl9ONQ7YGgZGYx0OSHvIq
20002,No No Song/snookeroo,Ringo Starr,3,6,9,3,False,1975-04-04,
20003,Express,B.T. Express,4,4,11,4,False,1975-04-04,spotify:track:7aUA2QLuPtuaBgnxLSAbnZ
20004,You Are So Beautiful/It's A Sin When You Love Somebody,Joe Cocker,5,5,13,5,False,1975-04-04,
20005,Poetry Man,Phoebe Snow,6,7,14,6,False,1975-04-04,spotify:track:5uhULfoDgTvz7BeWlqrV4a
20006,Lady Marmalade,Labelle,1,1,14,7,False,1975-04-04,spotify:track:17VWTx7LD7liGlpnlGhUbn
20007,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,8,11,10,8,False,1975-04-04,spotify:track:0b7qiL1rLbUUpGXczt7p5T
20008,Have You Never Been Mellow,Olivia Newton-John,1,10,11,9,False,1975-04-04,spotify:track:6Cm7NkPk9SixJs90swHvT3
20009,My Eyes Adored You,Frankie Valli,1,8,20,10,False,1975-04-04,spotify:track:2yDQVcj26tpi9IUJhw9xDs
20010,Once You Get Started,Rufus Featuring Chaka Khan,11,13,8,11,False,1975-04-04,spotify:track:6wwQQw2OJL5N2H0JgeBpNC
20011,Chevy Van,Sammy Johns,12,16,10,12,False,1975-04-04,spotify:track:31S6oGx81hVIjWz6cu5oNw
20012,Harry Truman,Chicago,13,17,7,13,False,1975-04-04,spotify:track:1qvFHNSBXGOsryKOr3p03m
20013,What Am I Gonna Do With You,Barry White,14,27,5,14,False,1975-04-04,spotify:track:27fgegYP2zQFkn0Go0v9xk
20014,Emma,Hot Chocolate,15,19,9,15,False,1975-04-04,spotify:track:0bsuSsRatN6sXKTnOMIwBb
20015,Supernatural Thing - Part I,Ben E. King,16,20,9,16,False,1975-04-04,
20016,Before The Next Teardrop Falls,Freddy Fender,17,21,10,17,False,1975-04-04,spotify:track:2SVW5774QbmEjWfbHOEnz3
20017,Walking In Rhythm,The Blackbyrds,18,22,9,18,False,1975-04-04,spotify:track:6lBOzYGkoPJz4tte6J4g0N
20018,L-O-V-E (Love),Al Green,19,24,6,19,False,1975-04-04,spotify:track:49qkJtDdi3KHmENFzleve4
20019,Shining Star,"Earth, Wind & Fire",20,25,8,20,False,1975-04-04,spotify:track:0RgcOUQg4qYAEt9RIdf3oB
20020,"Don't Call Us, We'll Call You",Sugarloaf/Jerry Corbetta,9,9,18,21,False,1975-04-04,spotify:track:0p2HblwKaVwAb2qOpfefzE
20021,Satin Soul,Love Unlimited Orchestra,22,26,9,22,False,1975-04-04,spotify:track:2uh4xWYmi6FRaoZqmj8SaF
20022,Long Tall Glasses (I Can Dance),Leo Sayer,23,28,7,23,False,1975-04-04,spotify:track:3AA2SafseoJo431Pee120g
20023,"Shame, Shame, Shame",Shirley And Company,12,12,13,24,False,1975-04-04,spotify:track:2RvoIv22fdI9Uhife5zdDl
20024,The Bertha Butt Boogie-Part 1,The Jimmy Castor Bunch,25,31,7,25,False,1975-04-04,spotify:track:3cPr5rDiN6Jqu38UfsqHip
20100,He Don't Love You (Like I Love You),Tony Orlando & Dawn,1,1,9,1,False,1975-05-04,spotify:track:0XaaoZUWQFzcFiQbXKhABU
20101,Before The Next Teardrop Falls,Freddy Fender,2,3,15,2,False,1975-05-04,spotify:track:2SVW5774QbmEjWfbHOEnz3
