,title,artist,peakPos,lastPos,weeks,rank,isNew,date,track_uri
67999,Thinking Out Loud,Ed Sheeran,2,3,24,3,False,2015-04-04,spotify:track:0k32ImCRqflvv6YgEZ8QP6
68000,Love Me Like You Do,Ellie Goulding,3,4,11,4,False,2015-04-04,spotify:track:3zHq9ouUJQFQRf3cm1rRLu
68001,FourFiveSeconds,Rihanna & Kanye West & Paul McCartney,4,5,9,5,False,2015-04-04,spotify:track:78TTtXnFQPzwqlbtbwqN0y
68002,Earned It (Fifty Shades Of Grey),The Weeknd,6,6,13,6,False,2015-04-04,spotify:track:4frLb7nWtsz2ymBE6k2GRP
68003,Style,Taylor Swift,6,7,15,7,False,2015-04-04,spotify:track:4lIxdJw6W3Fg4vUIYCB0S5
68004,Trap Queen,Fetty Wap,8,10,9,8,False,2015-04-04,spotify:track:2d8JP84HNLKhmd6IYOoupQ
68005,Time Of Our Lives,Pitbull & Ne-Yo,9,9,15,9,False,2015-04-04,spotify:track:0peuBPX1WVjq3yY5dtR6zq
68006,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,10,13,19,10,False,2015-04-04,spotify:track:4JgZMoKzK4IqfbpxsixS6I
68007,Blank Space,Taylor Swift,1,12,21,11,False,2015-04-04,spotify:track:1p80LdxRV74UKvL8gnD7ky
68008,Take Me To Church,Hozier,2,11,32,12,False,2015-04-04,spotify:track:1CS7Sd1u5tWkstBhpssyjP
68009,Somebody,Natalie La Rose Featuring Jeremih,13,15,9,13,False,2015-04-04,spotify:track:4wCmqSrbyCgxEXROQE6vtV
68010,Truffle Butter,Nicki Minaj Featuring Drake & Lil Wayne,14,14,9,14,False,2015-04-04,spotify:track:7e44z4wOjkllaD8eulUeMd
68011,Shut Up And Dance,WALK THE MOON,15,21,19,15,False,2015-04-04,spotify:track:4kbj5MwxO1bq9wjT5g9HaA
68012,One Last Time,Ariana Grande,16,18,6,16,False,2015-04-04,spotify:track:7xoUc6faLbCqZO6fQEYprd
68013,Lips Are Movin,Meghan Trainor,4,17,22,17,False,2015-04-04,spotify:track:6gj08XDlv9Duc2fPOxUmVD
68014,Lay Me Down,Sam Smith,8,8,7,18,False,2015-04-04,spotify:track:1kAwTFkvBoW1gDPTCzE2Ey
68015,I Don't Mind,Usher Featuring Juicy J,11,16,18,19,False,2015-04-04,spotify:track:7aXuop4Qambx5Oi3ynsKQr
68016,Chains,Nick Jonas,20,20,8,20,False,2015-04-04,spotify:track:5Eg4TsPcqNbIjd8ADMZosg
68017,Take Your Time,Sam Hunt,21,27,12,21,False,2015-04-04,spotify:track:6DEaND0SHv3sC11xobZLiy
68018,Ayo,Chris Brown & Tyga,22,23,11,22,False,2015-04-04,spotify:track:0k6DnZMLoEUH8NGD5zh2SE
68019,I'm Not The Only One,Sam Smith,5,19,29,23,False,2015-04-04,spotify:track:4RYQQajHToempAp8DhWasp
68020,Shake It Off,Taylor Swift,1,22,31,24,False,2015-04-04,spotify:track:5xTtaWoae3wi06K5WfVUUH
68021,All About That Bass,Meghan Trainor,1,28,37,25,False,2015-04-04,spotify:track:5jE48hhRu8E6zBDPRSkEq7
68097,See You Again,Wiz Khalifa Featuring Charlie Puth,1,1,7,1,False,2015-05-04,spotify:track:7KA4W4McWYRpgf0fWsJZWB
68098,Uptown Funk!,Mark Ronson Featuring Bruno Mars,1,2,24,2,False,2015-05-04,spotify:track:32OlwWuMpZ6b0aN2RZOeMS
68099,Trap Queen,Fetty Wap,3,5,14,3,False,2015-05-04,spotify:track:2d8JP84HNLKhmd6IYOoupQ
68100,Earned It (Fifty Shades Of Grey),The Weeknd,3,3,18,4,False,2015-05-04,spotify:track:4frLb7nWtsz2ymBE6k2GRP
68101,Sugar,Maroon 5,2,4,15,5,False,2015-05-04,spotify:track:2iuZJX9X9P0GKaE93xcPjk
68102,Love Me Like You Do,Ellie Goulding,3,6,16,6,False,2015-05-04,spotify:track:3zHq9ouUJQFQRf3cm1rRLu
68103,Shut Up And Dance,WALK THE MOON,7,8,24,7,False,2015-05-04,spotify:track:4kbj5MwxO1bq9wjT5g9HaA
68104,Thinking Out Loud,Ed Sheeran,2,7,29,8,False,2015-05-04,spotify:track:0k32ImCRqflvv6YgEZ8QP6
68105,G.D.F.R.,Flo Rida Featuring Sage The Gemini & Lookas,8,9,24,9,False,2015-05-04,spotify:track:4JgZMoKzK4IqfbpxsixS6I
68106,Want To Want Me,Jason Derulo,10,11,7,10,False,2015-05-04,spotify:track:7oGZAicScQt96OAW4AruYy
68107,Somebody,Natalie La Rose Featuring Jeremih,10,10,14,11,False,2015-05-04,spotify:track:4wCmqSrbyCgxEXROQE6vtV
68108,Style,Taylor Swift,6,12,20,12,False,2015-05-04,spotify:track:4lIxdJw6W3Fg4vUIYCB0S5
68109,Post To Be,Omarion Featuring Chris Brown & Jhene Aiko,13,15,16,13,False,2015-05-04,spotify:track:0fgZUSa7D7aVvv3GfO0A1n
68110,One Last Time,Ariana Grande,13,13,11,14,False,2015-05-04,spotify:track:7xoUc6faLbCqZO6fQEYprd
68111,Chains,Nick Jonas,13,14,13,15,False,2015-05-04,spotify:track:5Eg4TsPcqNbIjd8ADMZosg
68112,Talking Body,Tove Lo,16,18,13,16,False,2015-05-04,spotify:track:2tpfxAXiI52znho4WE3XFA
68113,Nasty Freestyle,T-Wayne,17,43,2,17,False,2015-05-04,spotify:track:0PT7nlpo11hYYyfnBgtilT
68114,Girl Crush,Little Big Town,18,25,10,18,False,2015-05-04,spotify:track:11qh54D0PKkBwelpDxxiEU
68115,Hey Mama,"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",19,27,5,19,False,2015-05-04,spotify:track:7CfaZQbPvsatNcnSO2I2JU
68116,Dear Future Husband,Meghan Trainor,20,24,15,20,False,2015-05-04,spotify:track:3cU2wBxuV6nFiuf6PJZNlC
68117,Lay Me Down,Sam Smith,8,20,12,21,False,2015-05-04,spotify:track:1kAwTFkvBoW1gDPTCzE2Ey
