,title,artist,peakPos,lastPos,weeks,rank,isNew,date,track_uri
39999,Set Adrift On Memory Bliss,P.M. Dawn,1,1,8,3,False,1991-12-04,spotify:track:0qiF6U6WT4nGQTQnhU1chs
40000,It's So Hard To Say Goodbye To Yesterday,Boyz II Men,4,4,12,4,False,1991-12-04,spotify:track:264JdkdtNRAGL4M4PnDYHC
40001,All 4 Love,Color Me Badd,5,7,5,5,False,1991-12-04,spotify:track:4XmsMIMjvDIFEjeY3ycMzW
40002,Blowing Kisses In The Wind,Paula Abdul,6,6,8,6,False,1991-12-04,spotify:track:1uhsVQi7IADIxZXN1xJnk5
40003,Cream,Prince And The N.P.G.,1,5,11,7,False,1991-12-04,spotify:track:4QnjK45IBBZRVRWTEeZ3T8
40004,Can't Let Go,Mariah Carey,8,17,4,8,False,1991-12-04,spotify:track:3Mi8teeczekyPhn5lgW8li
40005,That's What Love Is For,Amy Grant,7,11,11,9,False,1991-12-04,spotify:track:367dmPOxuMP8FsrZHenNnq
40006,O.P.P.,Naughty By Nature,6,8,14,10,False,1991-12-04,spotify:track:1k28sDTLOz942qa3wEtMQE
40007,Finally,CeCe Peniston,11,24,11,11,False,1991-12-04,spotify:track:0uqvSVhGgQTIdj9G51vhvv
40008,Can't Stop This Thing We Started,Bryan Adams,2,10,13,12,False,1991-12-04,spotify:track:1lr2oKNclWyfS1Wc31nkRj
40009,Keep Coming Back,Richard Marx,13,18,6,13,False,1991-12-04,spotify:track:0GMFC1osUTm2qKycgHdwWD
40010,Let's Talk About Sex,Salt-N-Pepa,13,13,16,14,False,1991-12-04,spotify:track:6hTBP6QLwJdxbKyLlLXrGo
40011,Wildside,Marky Mark & The Funky Bunch,15,21,5,15,False,1991-12-04,spotify:track:2U25Ne3teRZLF1wsRnjcfW
40012,Don't Cry,Guns N' Roses,10,12,12,16,False,1991-12-04,spotify:track:04WxFTgT3bEvX1WOYzT5Ky
40013,2 Legit 2 Quit,M.C. Hammer,17,19,5,17,False,1991-12-04,spotify:track:4ZnKSrukEcPuMxGrcZEEh1
40014,Do Anything,Natural Selection,2,9,18,18,False,1991-12-04,spotify:track:5nNwxsg6vS3pKcLNcAvRWP
40015,Set The Night To Music,Roberta Flack With Maxi Priest,6,16,12,19,False,1991-12-04,spotify:track:32jYppBJlMiUDUAwd0yHnr
40016,No Son Of Mine,Genesis,20,22,6,20,False,1991-12-04,spotify:track:6YsCavQbx3YITYsnIKvF3j
40017,Street Of Dreams,Nia Peeples,12,20,9,21,False,1991-12-04,spotify:track:3pFC5u4BYOV8iJHnr36RpO
40018,Romantic,Karyn White,1,14,17,22,False,1991-12-04,spotify:track:1eDCizNe4EQMj7okkjIeXo
40019,Emotions,Mariah Carey,1,15,15,23,False,1991-12-04,spotify:track:0cELvuwJW1acISUHYB6suj
40020,Hole Hearted,Extreme,4,23,19,24,False,1991-12-04,spotify:track:1cItNpcJskTVETprljc7HV
40021,Live For Loving You,Gloria Estefan,25,29,9,25,False,1991-12-04,spotify:track:6eT8JIrp1I3N6UfzXSnFhU
40097,Black Or White,Michael Jackson,1,1,7,1,False,1992-01-04,spotify:track:6wdviVWctiZnY6tVn6bh6A
40098,It's So Hard To Say Goodbye To Yesterday,Boyz II Men,2,2,16,2,False,1992-01-04,spotify:track:264JdkdtNRAGL4M4PnDYHC
40099,All 4 Love,Color Me Badd,3,3,9,3,False,1992-01-04,spotify:track:4XmsMIMjvDIFEjeY3ycMzW
40100,Can't Let Go,Mariah Carey,4,6,8,4,False,1992-01-04,spotify:track:3Mi8teeczekyPhn5lgW8li
40101,Set Adrift On Memory Bliss,P.M. Dawn,1,4,12,5,False,1992-01-04,spotify:track:0qiF6U6WT4nGQTQnhU1chs
40102,Finally,CeCe Peniston,6,8,15,6,False,1992-01-04,spotify:track:0uqvSVhGgQTIdj9G51vhvv
